time_edt,source,speech,language,shouted,transcriber_note,pdf_page
09:33:44.9,CAM-2,"Stop, stop, stop, STOP!",unmarked,,,2
09:33:49.8,CAM-1,"No!. No, no, no, NO!",english_spoken,,,2
09:33:53.1,CAM-1,"No, no, no, NO!",english_spoken,,,2
09:34:00.1,CAM.1,"Down! Go ahead, lie down. Lie down ' Down, down, DOWN!",english_spoken,,,2
09:34:06.2,CAM-2,There is someone... Huh,translated_arabic,,,2
09:34:12.4,CAM-1,"Down, down, down ؛ Sit down ' Come on, sit down, sit ' Sit down! Sit down! 2010",english_spoken,,,2
09:34:14.2,CAM-1,,unmarked,,The sound of auto-pilot disconnect warning starts,3
09:34:16.0,CAM-1,"Down, Down DOWN! 09:",english_spoken,,,3
34:21:6,CAM,1 Down,english_spoken,,,3
09:34:25.5,CAM-1,No more,english_spoken,,,3
09:34:26.6,CAM-1,No more. Down!,english_spoken,,,3
09:34:27.4,HOT/CAM-4,"Please, please, please",english_spoken,,,3
09:34:28.5,CAM-1,Down! 09:,unmarked,,,3
34:29:0,HOT/CAM-4,"Please, please, don't hurt me",english_spoken,,,3
09:34:30.1,CAM-1,Down! No more. 0 9: HOT/CAM-4 Oh God!,english_spoken,,,3
09:34:32.2,CAM-1,"Down, down, down!",english_spoken,,,3
09:34:33.4,CAM-1,Sit down! 09:,english_spoken,,,3
34:34:1,CAM-2,Shut up!,unmarked,,,3
09:34:38.5,CAM,09:,unmarked,yes,The Sound of auto-pilot disconnect warning stops,3
34:42:4,CAM-1,No more,english_spoken,,,3
09:34:46.6,CAM-2,This 0 9: CAM-1 Yes. 09:,mixed,,,3
34:47:9,CAM-2,09:,unmarked,yes,U/I; Unintelligible Arabic phrase,3
34:51:8,CAM,,unmarked,,The sound of a distinctive knock on the door,3
09:34:57.3,CAM-1,"One moment, one moment",translated_arabic,,,3
09:34:59.1,CAM-2,,unmarked,,U/I; Unintelligible Arabic phrase,3
09:35:03.4,CAM-1,No more,english_spoken,,,3
09:35:06.5,CAM-1,"Down, down, down!",english_spoken,,,3
09:35:09.5,CAM-1,"No, no, no, no, no, no. 09:",english_spoken,,,3
35:15:2,CAM-1,"Sit down, sit down, sit down!",english_spoken,,U/I,3
09:35:17.6,CAM-1,DOWN!,english_spoken,yes,,3
09:35:18.1,CAM-2,What's this,translated_arabic,,,3
09:35:19.5,CAM-1,"Sit Down! Sit down! You know,, sit down!",english_spoken,,,3
09:35:24.9,HOT-4,Are you talking to me,english_spoken,,,3
09:35:30.7,HOT/CAM-1,"Down, down, down, DOWN!",english_spoken,,,3
09:35:32.3,HOT/CAM-1,"No, no, no",english_spoken,,,3
09:35:34.1,HOT/CAM-1,"Down, down!",english_spoken,,,3
09:35:35.0,HOT/CAM-1,"No, no. Down in the airport",english_spoken,,,3
09:35:39.9,HOT/CAM-1,"Down, DOWN!",english_spoken,,,3
09:35:40.6,HOT-4,I don't want to die. 09:,english_spoken,,A native English speaking female,3
35:41:9,HOT/CAM-1,"no. Down, DOWN!",english_spoken,,,3
09:35:42.8,HOT-4,I don't want to die. I don't want to die. 09:,english_spoken,,A native English speaking female,3
35:44:2,CAM,"1 No, no. Down, down, down, down, down, down",english_spoken,,,3
09:35:47.2,HOT-4,"No, no, please",english_spoken,,,3
09:35:52.1,CAM,,unmarked,,The sound of a snap,3
09:35:56.2,CAM-4,,unmarked,,The sound of a female crying,3
09:35:57.9,CAM-1,No. 3 of 1 0,english_spoken,,,3
09:36:01.7,CAM-4,,unmarked,,The sound of a female crying. And a struggle that lasted for few seconds,4
09:36:23.1,CAM,,unmarked,,The sound of a struggle w ith a female,4
09:37:06.0,CAM-1,That's it. Go back. Back..back,english_spoken,,,4
09:37:06.4,CAM-1,That's it! Sit down!,english_spoken,,,4
09:37:13.8,CAM,,unmarked,,The sound of numerous clicks,4
09:37:24,CTR,,unmarked,,Attempt by the control center to contact the plane,4
09:37:36.0,CAM-2,"Everything is fine, I finished",unmarked,,,4
09:37:40.7,CAM,,unmarked,,U/I; Continuous background Arabic conversations. Faraway. Hard to hear,4
09:37:53.6,CAM,,unmarked,,The sound of probably plates/glass rattling,4
09:37:55,CTR,,unmarked,,Attempt by the control center to contact the plane,4
09:37:59.0,CAM,,unmarked,,U/I; Continuous background Arabic conversations. Far away. Hard to hear,4
09:38:36.3,CAM-1,,unmarked,,The sound of a knock on the cabin door,4
09:38:36.3,CAM-2,Yes,unmarked,,,4
09:38:50.6,CAM-?,,unmarked,,U/I; Unintelligible Arabic conversation,4
09:39:09.0,CAM,,unmarked,,The sound of a metallic ring,4
09:39:11.5,CAM-1,"Ah! Here's the captain; I would like you all to remain seated. We have a bomb aboard, and we are going back to the airport, and we have our demands. So, please remain quiet",english_spoken,,Over head broadcast,4
09:39:20.6,CAM-?,,unmarked,,U/I; Unintelligible Arabic question,4
09:39:21.3,CTR,Okay. That's United ninety three calling,english_spoken,,,4
09:39:24,CAM-1,One moment,unmarked,,,4
09:39:34.6,CTR,United ninety three. I understand you have a bomb onboard. Go ahead,english_spoken,,,4
09:39:42,EX956,And center exec jet nine fifty s ix. That was the transmission,english_spoken,,,4
09:39:47.7,CTR,Okay. Ah! Who called Cleveland,english_spoken,,,4
09:39:52.8,CTR,"Executive jet nin e fifty six, did you understand that transmission",english_spoken,,,4
09:39:56.1,EX956,Affirmative. He said that there was a bomb onboard. 09 CAM,english_spoken,,The sound of numerous clicking/snapping sounds,4
09:39:58.8,CTR,That was all that you got out of it also,english_spoken,,,4
09:40:01.2,EX956,Affirmative,english_spoken,,,4
09:40:03.3,CTR,Roger,english_spoken,,,4
09:40:03.5,CTR,United ninety three. Go ahead,english_spoken,,,4
09:40:06.2,CAM,,unmarked,,The sound of a loud snap,4
09:40:14.1,CTR,United ninety three. Go ahead,english_spoken,,,4
09:40:17.7,CAM-?,Ahhh!,english_spoken,,"From a distance, a male shout",4
09:40:52.6,CAM-1/?,This green knob,unmarked,,,4
09:40:54.4,CAM-2/?,"Yes, that's the one",unmarked,,,4
09:41:05.0,CTR,"United ninety three, do you hear the Cleveland center:31 HOT-2",english_spoken,,The sound of a microphone being removed,4
09:41:14.8,CAM-?,One moment. One moment,translated_arabic,,,5
09:41:15.9,CAM-?,,unmarked,,U/I; Unintelligible Arabic phrase,5
09:41:20.7,RDO,,unmarked,,Cycling through the VHF radio frequency selector. Activating various frequencies,5
